#	http://www.donaukurier.de/nachrichten/topnews/D-Island-Vulkan-Verkehr-Luftfahrt-Flugbetrieb-an-den-meisten-deutschen-Flughaefen-steht-still;art154776,2268508	[2010-04
1	Die	O	O
2	Deutsche	B-ORG	B-LOCderiv
3	Flugsicherung	I-ORG	O
4	(	O	O
5	DFS	B-ORG	O
6	)	O	O
7	beschloss	O	O
8	ein	O	O
9	Flugverbot	O	O
10	für	O	O
11	alle	O	O
12	internationalen	O	O
13	Flughäfen	O	O
14	mit	O	O
15	Ausnahme	O	O
16	der	O	O
17	beiden	O	O
18	Berliner	B-LOCderiv	O
19	Flughäfen	O	O
20	bis	O	O
21	2.00	O	O
22	Uhr	O	O
23	nachts	O	O
24	.	O	O
	
#	http://www.n-tv.de/reise/Bettenboom-trotz-Warnsignalen-article629397.html	[2009-12
1	Dem	O	O
2	Reservat	O	O
3	Südost-Rügen	B-LOC	O
4	-	O	O
5	laut	O	O
6	Succow	B-PER	O
7	das	O	O
8	"	O	O
9	problematischste	O	O
10	ostdeutsche	B-LOCderiv	O
11	Biosphärenreservat	O	O
12	"	O	O
13	-	O	O
14	droht	O	O
15	die	O	O
16	Aberkennung	O	O
17	des	O	O
18	Titels	O	O
19	.	O O
	
1	Nissan	B-ORG	O
2	Cima	B-OTH	O
3	FY32	O	O
4	(	O	O
5	1991–1996	O	O
6	)	O	O
7	Nissan	B-ORG	O
8	Cima	B-OTH	O
9	FY32	O	O
10	Zwei	O	O
11	Monate	O	O
12	nach	O	O
13	Einführung	O	O
14	von	O	O
15	Cedric/Gloria	B-OTH	O
16	Y32	O	O
17	folgte	O	O
18	im	O	O
19	August	O	O
20	1991	O	O
21	der	O	O
22	Cima	B-OTH	O
23	der	O	O
24	zweiten	O	O
25	Generation	O	O
26	(	O	O
27	Typ	O	O
28	FY32	O	O
29	)	O	O
30	.	O	O
